site_no,site_name,date,parameter,statistic,value
11159500,Pajaro River at Watsonville,2023-01-21,discharge_cfs,mean,2150.0
11159500,Pajaro River at Watsonville,2023-01-22,discharge_cfs,mean,1710.0
11159500,Pajaro River at Watsonville,2023-01-23,discharge_cfs,mean,1410.0
11159500,Pajaro River at Watsonville,2023-01-24,discharge_cfs,mean,1150.0
11159500,Pajaro River at Watsonville,2023-01-25,discharge_cfs,mean,958.0
11159500,Pajaro River at Watsonville,2023-01-26,discharge_cfs,mean,816.0
11159500,Pajaro River at Watsonville,2023-01-27,discharge_cfs,mean,712.0
11159500,Pajaro River at Watsonville,2023-01-28,discharge_cfs,mean,629.0
11159500,Pajaro River at Watsonville,2023-01-29,discharge_cfs,mean,556.0
11159500,Pajaro River at Watsonville,2023-01-30,discharge_cfs,mean,507.0
11159500,Pajaro River at Watsonville,2023-01-31,discharge_cfs,mean,456.0
11159500,Pajaro River at Watsonville,2023-02-01,discharge_cfs,mean,414.0
11159500,Pajaro River at Watsonville,2023-02-02,discharge_cfs,mean,384.0
11159500,Pajaro River at Watsonville,2023-02-03,discharge_cfs,mean,362.0
11159500,Pajaro River at Watsonville,2023-02-04,discharge_cfs,mean,350.0
11159500,Pajaro River at Watsonville,2023-02-05,discharge_cfs,mean,414.0
11159500,Pajaro River at Watsonville,2023-02-06,discharge_cfs,mean,518.0
11159500,Pajaro River at Watsonville,2023-02-07,discharge_cfs,mean,477.0
11159500,Pajaro River at Watsonville,2023-02-08,discharge_cfs,mean,441.0
11159500,Pajaro River at Watsonville,2023-02-09,discharge_cfs,mean,396.0
11159500,Pajaro River at Watsonville,2023-02-10,discharge_cfs,mean,354.0
11159500,Pajaro River at Watsonville,2023-02-11,discharge_cfs,mean,331.0
11159500,Pajaro River at Watsonville,2023-02-12,discharge_cfs,mean,310.0
11159500,Pajaro River at Watsonville,2023-02-13,discharge_cfs,mean,290.0
11159500,Pajaro River at Watsonville,2023-02-14,discharge_cfs,mean,276.0
11159500,Pajaro River at Watsonville,2023-02-15,discharge_cfs,mean,261.0
11159500,Pajaro River at Watsonville,2023-02-16,discharge_cfs,mean,248.0
11159500,Pajaro River at Watsonville,2023-02-17,discharge_cfs,mean,236.0
11159500,Pajaro River at Watsonville,2023-02-18,discharge_cfs,mean,227.0
11159500,Pajaro River at Watsonville,2023-02-19,discharge_cfs,mean,217.0
11159500,Pajaro River at Watsonville,2023-02-20,discharge_cfs,mean,208.0
11159500,Pajaro River at Watsonville,2023-02-21,discharge_cfs,mean,203.0
11159500,Pajaro River at Watsonville,2023-02-22,discharge_cfs,mean,200.0
11159500,Pajaro River at Watsonville,2023-02-23,discharge_cfs,mean,205.0
11159500,Pajaro River at Watsonville,2023-02-24,discharge_cfs,mean,317.0
11159500,Pajaro River at Watsonville,2023-02-25,discharge_cfs,mean,429.0
11159500,Pajaro River at Watsonville,2023-02-26,discharge_cfs,mean,508.0
11159500,Pajaro River at Watsonville,2023-02-27,discharge_cfs,mean,759.0
11159500,Pajaro River at Watsonville,2023-02-28,discharge_cfs,mean,1550.0
11159500,Pajaro River at Watsonville,2023-03-01,discharge_cfs,mean,2970.0
11159500,Pajaro River at Watsonville,2023-03-02,discharge_cfs,mean,3150.0
11159500,Pajaro River at Watsonville,2023-03-03,discharge_cfs,mean,2130.0
11159500,Pajaro River at Watsonville,2023-03-04,discharge_cfs,mean,1600.0
11159500,Pajaro River at Watsonville,2023-03-05,discharge_cfs,mean,1380.0
11159500,Pajaro River at Watsonville,2023-03-06,discharge_cfs,mean,1510.0
11159500,Pajaro River at Watsonville,2023-03-07,discharge_cfs,mean,1240.0
11159500,Pajaro River at Watsonville,2023-03-08,discharge_cfs,mean,1020.0
11159500,Pajaro River at Watsonville,2023-03-09,discharge_cfs,mean,1010.0
11159500,Pajaro River at Watsonville,2023-03-10,discharge_cfs,mean,7310.0
11159500,Pajaro River at Watsonville,2023-03-11,discharge_cfs,mean,10400.0
11159500,Pajaro River at Watsonville,2023-03-12,discharge_cfs,mean,7290.0
11159500,Pajaro River at Watsonville,2023-03-13,discharge_cfs,mean,5570.0
11159500,Pajaro River at Watsonville,2023-03-14,discharge_cfs,mean,4820.0
11159500,Pajaro River at Watsonville,2023-03-15,discharge_cfs,mean,4830.0
11159500,Pajaro River at Watsonville,2023-03-16,discharge_cfs,mean,4110.0
11159500,Pajaro River at Watsonville,2023-03-17,discharge_cfs,mean,3080.0
11159500,Pajaro River at Watsonville,2023-03-18,discharge_cfs,mean,2410.0
11159500,Pajaro River at Watsonville,2023-03-19,discharge_cfs,mean,2060.0
11159500,Pajaro River at Watsonville,2023-03-20,discharge_cfs,mean,1880.0
11159500,Pajaro River at Watsonville,2023-03-21,discharge_cfs,mean,1870.0
11159500,Pajaro River at Watsonville,2023-03-22,discharge_cfs,mean,3530.0
11159500,Pajaro River at Watsonville,2023-03-23,discharge_cfs,mean,4890.0
11159500,Pajaro River at Watsonville,2023-03-24,discharge_cfs,mean,3770.0
11159500,Pajaro River at Watsonville,2023-03-25,discharge_cfs,mean,2770.0
11159500,Pajaro River at Watsonville,2023-03-26,discharge_cfs,mean,2230.0
11159500,Pajaro River at Watsonville,2023-03-27,discharge_cfs,mean,1900.0
11159500,Pajaro River at Watsonville,2023-03-28,discharge_cfs,mean,1780.0
11159500,Pajaro River at Watsonville,2023-03-29,discharge_cfs,mean,2140.0
11159500,Pajaro River at Watsonville,2023-03-30,discharge_cfs,mean,2260.0
11159500,Pajaro River at Watsonville,2023-03-31,discharge_cfs,mean,2000.0
