field_id,vh31,vv31
4402327,-20.159044619374104,-9.882014094540194
4402336,-19.95126202662021,-11.75276302170127
4402340,-25.22677288495744,-14.806855648439413
4402341,-22.069869872692337,-13.12779271218655
4402376,-24.255536822555307,-15.723958498187768
4402430,-17.496806850836446,-10.937204531654352
4402435,-19.971343113805084,-11.919365567234733
4402467,-15.252546374949834,-6.6935978709578166
4402481,-19.883538973618087,-9.955535074361569
4402485,-18.554227778222206,-11.338173642117095
4402488,-18.035189252836755,-9.898674752778621
4402522,-17.971738679011157,-9.926161038855922
4402531,-21.002650210119736,-10.858566230216596
4402533,-23.393608681269885,-15.484150920806162
4402547,-16.640474418973604,-8.340741532504973
4405444,-18.582246233987078,-7.55320597304538
4402560,-16.11000917556128,-3.988732106169869
4402570,-18.186458580811813,-9.526153627103552
4402571,-17.387012514569708,-10.93404370388077
4402576,-19.683237563999064,-11.828369192806742
4402608,-23.608503282603476,-15.84685902404818
4404667,-22.09693490077954,-13.412682759819855
4402616,-19.9207417709886,-9.989125330867305
4402645,-24.1072085952218,-16.863045914853323
4402646,-23.417574701587416,-14.472617072959412
4402662,-22.977805973850558,-13.720189065479603
4404670,-23.54551202651173,-14.219223658826282
4404671,-22.054783575955916,-12.622815310280194
4402696,-23.54628862365743,-13.692182097546377
4402698,-20.09711190475909,-12.214552575748362
4402700,-21.21292539436374,-9.66974864128724
4402702,-24.35387294545238,-14.319426051262388
4402725,-22.841200661005107,-13.63458009182988
4402769,-24.009213433046405,-15.45952991644886
4402771,-19.225561857531467,-8.800839057434848
4402775,-21.095012215072597,-11.99024952482323
4402780,-20.54766212128137,-9.589476632843265
4402789,-18.752076106959663,-10.971761318546973
4402795,-16.963755019345715,-10.091460813347815
4404144,-18.873758950657162,-10.561828819356332
4402802,-18.003219514651896,-10.45061871864473
4402870,-18.832179552671736,-12.730306313757577
4404676,-17.83992597310796,-10.201603397034996
4404677,-17.867965533424552,-8.791130549743768
4404678,-18.06513790488403,-9.361101854824508
4403000,-20.97801071017622,-9.19888005101017
4403012,-19.983146507463342,-13.359739727833801
4404261,-19.713834433126657,-11.676079928073369
4404262,-21.12035063651782,-12.637015329853815
4403072,-23.08581228218237,-12.666131077445899
4403073,-23.10500908548935,-15.979078149420332
4404345,-22.056979313452874,-12.402398050538958
4403095,-20.216546448486596,-6.518831256897566
4403096,-21.0354135662762,-11.846368367176659
4403097,-21.61989629437177,-11.571653165790787
4403098,-21.614389590678233,-10.361896179486815
4403099,-21.679633420628083,-12.20326301647623
4404686,-23.336155822213385,-14.624837862281847
4405204,-24.550335982307953,-14.707809902216466
4404687,-22.0837190619867,-13.92923262292038
4404346,-22.45811265511865,-14.441263422719656
4404347,-22.615358867009572,-13.694416268838014
4404348,-22.22878642250494,-9.152708478414914
4404349,-23.59219516354838,-14.5264459094019
4404350,-19.85963898621081,-11.834334664787393
4403165,-22.871794433544625,-14.363546045367924
4403200,-21.0465876896336,-12.435181424328938
4403237,-23.002678182252254,-13.756569995316967
4403242,-23.61313176590176,-12.347113695715324
4403273,-18.960686069937978,-5.8449033443281255
4404269,-19.058360585969908,-10.433022336328381
4404365,-23.439769067348173,-13.733391547487338
4404479,-18.35621626906325,-8.10049127201534
4404523,-21.737632323800568,-12.743877760556888
4405212,-22.015011920257358,-11.892509288183073
4404699,-19.880913857746545,-7.7708036154676
4404700,-19.982117715044463,-12.20864881531351
4404702,-19.48919983037015,-11.735283884902113
4404777,-16.656977112069562,-10.058915612228908
4404760,-17.94395536715122,-11.352368590051976
4404703,-16.90905587827326,-8.976144281094022
4404746,-18.65027280561139,-11.633398951737746
4404728,-21.709189445810573,-13.649832619198891
4404715,-15.618925509578107,-8.90287842984202
4404737,-15.84004827007078,-5.208641083831377
4404745,-21.865621522275607,-11.693248895482848
4405475,-19.393839003587733,-6.103147562046392
4405476,-21.16322004009773,-12.383453170446616
4405322,-17.052621897617264,-9.132180680693285
4404618,-20.041746358907055,-11.77035549950466
4405303,-20.30485246942605,-12.071820203746046
4405283,-17.077584670576268,-10.913188114688905
4405292,-17.06754986576907,-6.6427707183365525
4405479,-17.699370669390138,-7.82273567306193
4405270,-16.99153480701169,-8.846092354474859
4405305,-17.607101120485737,-9.423809932610721
4405238,-19.288292902128475,-10.489808653995286
4401813,-21.153994461378915,-5.93001456010749
4405299,-19.810819612496836,-11.839131926899418
4405529,-16.603364332305034,-9.84244612984689
4405549,-18.00225712182751,-9.78104081650926
4405566,-16.921284826812517,-10.435806689099952
4405569,-21.515535933640916,-12.380070823992403
4405574,-20.36904195958907,-12.47031956051897
4405555,-18.597949864296318,-11.937817061833757
4405525,-19.59308523855242,-7.547314131138066
4405506,-20.179420166841116,-12.047088491311715
4405582,-15.701739432021487,-8.542746219077143
4405583,-15.558864774955493,-8.459760885184098
4405552,-22.336621036854428,-14.157346180212057
4405531,-23.36616422023959,-12.572396796577598
4405534,-18.461925298431424,-10.345179734645589
