id,acquired_utc,date,item_type,satellite_id,instrument,quality_category,cloud_percent_scene,clear_percent_scene,visible_percent_scene,shadow_percent,heavy_haze_percent,usable_data,units_intersected,pct_units_intersected,pct_unit_area_covered,intersects_lower_pajaro,n_permissions
20230318_175050_66_2459,2023-03-18T17:50:50.669219Z,2023-03-18,PSScene,2459,PSB.SD,standard,0,60,97,0,3,,282,21.363636363636363,35.99358013768663,False,0
20230318_175052_91_2459,2023-03-18T17:50:52.910626Z,2023-03-18,PSScene,2459,PSB.SD,standard,0,21,71,0,29,,4,0.30303030303030304,0.24301151511357527,False,0
20230318_175842_25_24b6,2023-03-18T17:58:42.252635Z,2023-03-18,PSScene,24b6,PSB.SD,standard,18,0,82,0,0,,283,21.439393939393938,14.217239565240606,True,0
20230318_175844_66_24b6,2023-03-18T17:58:44.664462Z,2023-03-18,PSScene,24b6,PSB.SD,standard,0,17,65,0,35,,551,41.74242424242424,30.57143528390364,True,0
20230318_175847_07_24b6,2023-03-18T17:58:47.076289Z,2023-03-18,PSScene,24b6,PSB.SD,standard,0,25,42,0,58,,46,3.4848484848484853,7.580045298844173,False,0
20230318_175849_48_24b6,2023-03-18T17:58:49.488116Z,2023-03-18,PSScene,24b6,PSB.SD,standard,0,0,15,0,85,,0,0.0,0.0,False,0
20230318_182955_83_2492,2023-03-18T18:29:55.830683Z,2023-03-18,PSScene,2492,PSB.SD,standard,1,2,14,0,85,,0,0.0,0.0,False,0
20230318_182958_03_2492,2023-03-18T18:29:58.03725Z,2023-03-18,PSScene,2492,PSB.SD,standard,1,1,3,0,96,,613,46.439393939393945,27.05640488098325,True,0
20230318_183000_24_2492,2023-03-18T18:30:00.243817Z,2023-03-18,PSScene,2492,PSB.SD,standard,0,1,6,0,94,,885,67.04545454545455,58.961023144388946,True,0
20230318_183002_45_2492,2023-03-18T18:30:02.450384Z,2023-03-18,PSScene,2492,PSB.SD,standard,0,2,5,0,95,,295,22.348484848484848,37.360239902081716,False,0
20230318_183004_65_2492,2023-03-18T18:30:04.656951Z,2023-03-18,PSScene,2492,PSB.SD,standard,3,1,1,0,95,,12,0.9090909090909091,0.7160250952322422,False,0
20230318_183148_23_24a3,2023-03-18T18:31:48.238911Z,2023-03-18,PSScene,24a3,PSB.SD,standard,2,1,1,0,97,,312,23.636363636363637,10.716274982500249,True,0
20230318_183150_40_24a3,2023-03-18T18:31:50.403842Z,2023-03-18,PSScene,24a3,PSB.SD,test,0,0,0,0,100,,163,12.34848484848485,5.2103783612583445,True,0
20230318_183152_56_24a3,2023-03-18T18:31:52.568773Z,2023-03-18,PSScene,24a3,PSB.SD,standard,0,0,0,0,100,,0,0.0,0.0,False,0
20230318_183154_73_24a3,2023-03-18T18:31:54.733704Z,2023-03-18,PSScene,24a3,PSB.SD,standard,0,0,0,0,100,,0,0.0,0.0,False,0
20230319_175255_12_2431,2023-03-19T17:52:55.124834Z,2023-03-19,PSScene,2431,PSB.SD,test,95,2,3,0,2,,3,0.22727272727272727,0.017795128157768698,False,0
20230319_175257_31_2431,2023-03-19T17:52:57.31918Z,2023-03-19,PSScene,2431,PSB.SD,test,97,1,2,0,1,,456,34.54545454545455,21.40715312946385,True,0
20230319_175259_51_2431,2023-03-19T17:52:59.513526Z,2023-03-19,PSScene,2431,PSB.SD,test,94,4,6,0,0,,313,23.71212121212121,19.721406597327636,True,0
20230319_175301_70_2431,2023-03-19T17:53:01.707872Z,2023-03-19,PSScene,2431,PSB.SD,test,97,2,2,0,0,,27,2.0454545454545454,5.64761522718746,False,0
20230319_175303_90_2431,2023-03-19T17:53:03.902218Z,2023-03-19,PSScene,2431,PSB.SD,test,86,10,13,3,0,,0,0.0,0.0,False,0
20230319_180358_71_24a1,2023-03-19T18:03:58.713006Z,2023-03-19,PSScene,24a1,PSB.SD,test,72,5,6,0,23,,2,0.15151515151515152,0.03759652374730946,False,0
20230319_180401_11_24a1,2023-03-19T18:04:01.11413Z,2023-03-19,PSScene,24a1,PSB.SD,test,68,13,15,0,17,,0,0.0,0.0,False,0
20230319_181657_92_2276,2023-03-19T18:16:57.922632Z,2023-03-19,PSScene,2276,PSB.SD,test,96,1,1,0,3,,0,0.0,0.0,False,0
20230319_181659_96_2276,2023-03-19T18:16:59.965991Z,2023-03-19,PSScene,2276,PSB.SD,test,74,4,5,0,20,,0,0.0,0.0,False,0
20230319_181702_00_2276,2023-03-19T18:17:02.00935Z,2023-03-19,PSScene,2276,PSB.SD,standard,87,9,10,1,3,,106,8.030303030303031,11.056938135435677,False,0
20230319_181704_05_2276,2023-03-19T18:17:04.052709Z,2023-03-19,PSScene,2276,PSB.SD,standard,82,17,18,1,0,,203,15.378787878787877,23.05057868139452,False,0
20230319_181706_09_2276,2023-03-19T18:17:06.096068Z,2023-03-19,PSScene,2276,PSB.SD,test,64,34,36,2,0,,32,2.4242424242424243,3.1541657961251306,False,0
20230319_182827_32_2479,2023-03-19T18:28:27.328244Z,2023-03-19,PSScene,2479,PSB.SD,standard,87,12,13,1,0,,54,4.090909090909091,5.694276864593802,False,0
20230319_182829_52_2479,2023-03-19T18:28:29.529861Z,2023-03-19,PSScene,2479,PSB.SD,test,73,25,27,2,0,,70,5.303030303030303,6.4892412749952495,False,0
20230319_183302_48_2495,2023-03-19T18:33:02.48694Z,2023-03-19,PSScene,2495,PSB.SD,test,99,0,0,0,1,,2,0.15151515151515152,0.01521840252340805,False,0
20230319_183304_69_2495,2023-03-19T18:33:04.691901Z,2023-03-19,PSScene,2495,PSB.SD,test,100,0,0,0,0,,8,0.6060606060606061,0.4058951930607835,True,0
20230319_183306_89_2495,2023-03-19T18:33:06.896862Z,2023-03-19,PSScene,2495,PSB.SD,test,98,1,2,0,0,,0,0.0,0.0,False,0
20230320_182843_81_2461,2023-03-20T18:28:43.810535Z,2023-03-20,PSScene,2461,PSB.SD,test,90,8,10,2,0,,3,0.22727272727272727,0.017795128157768698,False,0
20230320_182846_01_2461,2023-03-20T18:28:46.017696Z,2023-03-20,PSScene,2461,PSB.SD,standard,56,40,44,3,0,,651,49.31818181818181,29.22116902582671,True,0
20230320_182852_63_2461,2023-03-20T18:28:52.639179Z,2023-03-20,PSScene,2461,PSB.SD,test,81,18,19,0,1,,0,0.0,0.0,False,0
