15_Mar_only,15_Mar_only_n,20_31_Mar,20_31_Mar_n,20_Mar_only,20_Mar_only_n,25_Mar_only,25_Mar_only_n,pre,pre_n,unit_id
,0.0,0.28743035083482127,4.0,0.2901684216665713,2.0,0.2841174741537406,2.0,0.2997885399193327,8.0,4400738
,0.0,0.18999275767307217,2.0,0.16476138016561262,1.0,0.21522413600770168,1.0,0.1527556636922549,3.0,4405137
0.3682283500119191,1.0642207352830608,0.5027603671470041,4.0,0.4907870158802387,2.0,0.5106039423666657,2.0,0.41318378585320226,6.0,4400759
0.3641527774188663,1.4450356496754289,0.38039879695435747,4.0,0.396170332372138,2.0,0.3667495278539501,2.0,0.3190802670234288,6.0,4400762
0.20397474468532728,1.0,0.2329082848817993,2.0,0.21841808912412997,1.0,0.24739848026506753,1.0,0.18081892378499181,3.0,4400773
,0.0,0.40967243613016513,4.0,0.41834720772204426,2.0,0.40351861508001863,2.0,0.4203334831771249,6.0,4400774
0.34743376889012073,0.006468210216832048,0.47908326194856776,4.0,0.5014089005127501,2.0,0.46170354425600457,2.0,0.4021190126934109,6.0,4400793
,0.0,0.5028025016509156,2.0,0.4923047150212091,1.0,0.5133002879536684,1.0,0.5056327617304552,3.0,4404240
,0.0,0.6398139633481195,6.0,0.6713778035304938,2.0,0.6335895192918776,2.0,0.6464689033507335,8.0,4400796
,0.0,0.06489501439015384,4.0,0.057735159237457395,2.0,0.06610589625717031,2.0,0.04760050884407874,8.0,4400820
0.32012685471110874,0.019433465085638996,0.3439877053528867,4.0,0.34718881907709653,2.0,0.34227837285956997,2.0,0.3886058190677986,6.0,4400821
,0.0,0.42662714468783347,4.0,0.45013821854510355,2.0,0.40914470787790347,2.0,0.48497481528814895,8.0,4400825
,0.0,0.4006590297169351,4.0,0.4257764152055297,2.0,0.3843480208615095,2.0,0.4681369196268906,8.0,4400838
,0.0,0.4781328916994321,4.0,0.4981187200841936,2.0,0.4612318661648387,2.0,0.4018308816980887,6.0,4400843
,0.0,0.40449289987681264,4.0,0.4122503747629365,2.0,0.3984996669649339,2.0,0.40410265288666536,6.0,4400856
0.29351086477863597,0.9123997532387415,0.3921632551808625,4.0,0.4076035221456967,2.0,0.37773062078361513,2.0,0.381367890036893,8.0,4404131
