base_vh,base_vv,unit_id
0.4071574917136686,0.26449811332695206,4405302
0.025268213383519002,0.0,4405406
0.0,0.0,4400668
1.0,0.8508757353185549,4400685
0.0,0.0,4400692
0.9104121249870238,0.8129347036229627,4400698
0.908967667593032,0.8379312682166338,4400699
0.9089167015988981,0.044194263129528705,4400713
1.0,0.826581478621077,4400719
0.29562211981566805,0.10751728110599074,4400738
0.44758176137936523,0.0255558496156432,4405137
0.06518306894218481,0.0,4400759
1.0,0.8109503032882834,4400762
0.3388488495107114,0.0,4400773
0.9882177551216698,0.924256997210734,4400774
0.2842337375964719,0.01403895626607865,4400793
0.5472228920504782,0.0,4404240
0.028266072460179908,0.0,4400796
0.9399725506248344,0.5951457947075677,4400820
1.0,0.8180994729907776,4400821
0.8463007639726577,0.5363892239646159,4400825
0.8185977859778599,0.13756457564575644,4400838
0.7677468402546801,0.7184263042858499,4400843
1.0,0.6107935743938392,4400856
0.9274275138803206,0.11212831585441085,4404131
0.0,0.0,4400862
0.8936438225581315,0.4961699519967314,4400865
0.849419083340957,0.5510474796450464,4400880
0.43331896551724136,0.0,4405407
0.7351849101440665,0.10103753368271412,4400894
0.9622142089918675,0.9989258861439314,4400917
0.9468542092304472,0.6722588925559223,4405143
1.0,0.7423874966316356,4400934
0.6644752289269781,0.06574313219065508,4400967
0.7171365974471328,0.008906458373023432,4400977
0.0,0.0,4404463
0.6123615299323325,0.0,4404313
0.7920357481809557,0.1828930718127175,4401013
0.0018913414645954432,0.0,4401027
0.6064479744336873,0.2652739919165335,4401034
0.18970478104922944,0.0,4401046
0.648016220955721,0.26085050416483985,4401049
1.0,0.720050547598989,4401053
0.6281879942087094,0.005512863347811562,4401074
0.936109779040171,0.16374635729831424,4401107
0.886783939720372,0.3084950584767287,4401123
0.8874620060790274,0.8624113475177307,4401154
0.7340695608022341,0.43516755521706013,4401201
0.0,0.0,4401203
0.9973691902952353,0.6021631102016954,4401228
0.4275427986659515,0.13138281148859832,4405152
0.7640873550822326,0.30500134807225665,4401269
0.14054644180768233,0.06978481339960353,4405153
0.3426772775864117,0.06924812923150017,4401286
0.7701026008112624,0.0,4401304
0.0,0.0,4401306
0.9446022302609942,0.8921940865197763,4401313
0.0,0.0,4401325
0.5604966425947041,0.6963131889015584,4401334
0.0010614101592115238,0.0,4401363
0.29122774015550534,0.02266741911211437,4401369
0.9128543092968201,0.2608612195278009,4401370
0.5935101525308462,0.0,4401378
1.0,0.5305615371873447,4401385
0.0,0.0,4401387
1.0,0.4547691416992328,4401388
0.39028597715249563,0.00030667791152342254,4405154
0.12475065480217175,0.0,4401405
0.7332380573442357,0.1389188881941681,4405155
0.0,0.0,4405156
0.8849666141165142,0.5519052186343576,4404637
0.8118467866502368,0.25923046217393564,4404639
0.9999046620268854,0.9996186481075412,4401460
0.625816610271701,0.0,4401473
0.0,0.0,4401475
0.3153049578731832,0.0,4401478
0.974262996941896,0.42414678899082564,4401490
0.7891737891737892,0.6847237269772483,4401494
0.7992994517448435,0.35791053868244704,4401501
0.5658157748140381,0.1550611134777337,4401540
0.35169595269035914,0.07307380831308735,4401548
0.19206318210418974,0.03329427846123804,4404642
1.0,0.7240089753178757,4401564
0.6119424614889161,0.12036390961301054,4405165
1.0,0.0034127684613121496,4401582
0.9389538363324422,0.9298567609623747,4401592
0.5614874546846753,0.0008276699106243587,4404646
0.4680514738623209,0.0,4401617
0.27200582401107126,0.0,4401618
0.19131103052426815,0.0,4401639
0.9947521533283897,0.9293822371798528,4401642
0.9558172276974273,0.0,4401652
0.45357528818443815,0.19380403458213266,4401656
0.15850562205295615,0.0,4401659
0.5447556177231241,0.24884022823100846,4401672
0.12612881387049765,0.0,4401674
0.0,0.0,4401684
1.0,0.9706261114858649,4401692
0.2503566862000701,0.02691561470978826,4401698
0.8024399699546895,0.011585011266991347,4401713
0.35149000377216155,0.005167861184458694,4401727
0.21647106028688937,0.0,4401734
0.4526760858340585,0.0009207338429264172,4401740
0.21580332211641726,0.06390062289682824,4404250
0.6514100785945445,0.0,4401784
0.9014878809695223,0.45026397888168956,4401802
0.9148642219294394,0.0,4404251
0.9167936887204414,0.6576635494768064,4404650
1.0,0.6433665314152218,4401844
0.00949561526001229,0.0,4401855
0.9155592605305742,0.6354631491197961,4401861
0.954086975693105,0.5763104227525765,4401875
1.0,0.8871990422560192,4401878
0.43772877135421956,7.213812045463046e-05,4404253
0.12029988797288364,0.016832792347686205,4401898
1.0,0.7427037271004422,4401905
0.0471912380760107,0.0,4401909
0.20577449585748891,0.0,4401950
0.9989956029730152,0.6079950003347988,4401952
0.025640281927081825,5.800968761783219e-05,4401954
0.47812105291706375,0.0,4405170
0.8291359380720745,0.0,4404214
0.7127511337437615,0.5069798079602749,4401966
0.8420136215575951,0.16328990228013024,4401981
0.0015853443720274792,0.0,4401983
0.0,0.0,4401991
0.30616740088105726,0.0,4402014
0.0,0.0,4404652
1.0,0.7150041050903121,4402056
0.5181878306878306,0.0,4402077
1.0,0.0,4402103
0.6807029959896203,0.0,4402138
0.5451916942769534,0.15921531907887967,4405174
0.5474116680361544,0.21602300739523422,4402146
0.0,0.0,4402151
0.7632589206461918,0.08284328954375997,4402160
0.48947508659738853,0.1566302513544719,4402161
0.449628477622257,0.0,4402163
0.22067758212336527,0.0,4402191
0.4551059022597073,0.16643001662562185,4402216
0.02330377602869383,0.0,4402234
0.8942457231726284,0.5607007966483637,4402243
0.0,0.0,4402256
0.2784317209316099,0.0,4402282
1.0,0.06406415227352838,4402285
1.0,0.8000155569383947,4402286
0.21661732504160466,0.0,4402289
0.15454663717965395,0.0,4402296
0.320519818493585,0.0,4405440
0.24328255281800504,0.0,4402320
0.9257622460727151,0.9624911798566493,4402323
0.16767671655764876,0.0,4402327
0.22354004292330282,0.06450817904562398,4402336
1.0,0.9362254713351289,4402340
0.6068336710259715,0.5952293240007367,4402341
0.9817032601463739,0.8300066533599468,4402376
0.0,0.0,4402430
0.0724726086854515,0.010299603500457498,4402435
0.0,0.0,4402467
