unit_id,county_geoid,county,col,row,x_3310,y_3310,lon,lat,frac_2022,frac_2023,dwr_t20_main_frac,dwr_t20_any_frac,dwr_dominant_main_crop,both_years
c-632_r512,06053,Monterey,-632,512,-157875.0,-128125.0,-121.773068,36.850484,0.10608323094604277,0.6617410175010716,0.0,0.0,T4,False
c-630_r512,06053,Monterey,-630,512,-157375.0,-128125.0,-121.767454,36.850568,0.2508562044845577,0.6689895972208473,0.4349293541336407,0.9735497678836886,G6,False
c-641_r513,06053,Monterey,-641,513,-160125.0,-128375.0,-121.798278,36.847854,0.9171869044472951,0.9185846021921067,0.016343518231126338,0.016343518231126338,T30,True
c-634_r513,06053,Monterey,-634,513,-158375.0,-128375.0,-121.778629,36.848151,0.26155597864373364,0.7519619122164817,0.0,0.0,T4,False
c-633_r513,06053,Monterey,-633,513,-158125.0,-128375.0,-121.775822,36.848194,0.5207851919370767,0.7615762236001024,0.0,0.0,T4,False
c-632_r513,06053,Monterey,-632,513,-157875.0,-128375.0,-121.773015,36.848236,0.6160574474025085,0.8135342184329094,0.0,0.0,T4,True
c-637_r514,06053,Monterey,-637,514,-159125.0,-128625.0,-121.786997,36.845776,0.45656785109309794,0.6092069413199037,0.3324247696614948,0.9450754341682758,T4,False
c-636_r514,06053,Monterey,-636,514,-158875.0,-128625.0,-121.78419,36.845818,0.4104107053651343,0.6679718934232204,0.1070707789315594,0.9490781182135078,T4,False
c-630_r514,06053,Monterey,-630,514,-157375.0,-128625.0,-121.767349,36.846071,0.6411776575756488,0.7826200302293971,0.9433441536860269,0.9433441536860269,T20,True
c-637_r515,06053,Monterey,-637,515,-159125.0,-128875.0,-121.786944,36.843527,0.6260352977121512,0.6683710083473993,0.9758785023775742,0.9758785023775742,T20,True
c-635_r516,06053,Monterey,-635,516,-158625.0,-129125.0,-121.781278,36.841363,0.3128268320130442,0.6918968449751438,0.8515193932675879,0.8778393495640316,T20,False
c-629_r516,06053,Monterey,-629,516,-157125.0,-129125.0,-121.764437,36.841615,0.20076101744945207,0.6466555658874754,0.8507235721502824,0.964357894664367,T20,False
c-630_r517,06053,Monterey,-630,517,-157375.0,-129375.0,-121.767192,36.839324,0.3723544313580678,0.8308941671333776,0.9578603887384669,0.9578603887384669,T20,False
c-629_r517,06053,Monterey,-629,517,-157125.0,-129375.0,-121.764385,36.839366,0.49091725813233617,0.7471103973554238,0.954354458981629,0.954354458981629,T20,False
c-625_r538,06053,Monterey,-625,538,-156125.0,-134625.0,-121.752069,36.792307,0.014399999999944544,0.7190142417602683,0.0,0.0,T4,False
c-624_r538,06053,Monterey,-624,538,-155875.0,-134625.0,-121.749264,36.792348,0.003892685254119096,0.7555553342254514,0.0,0.0,T4,False
c-623_r538,06053,Monterey,-623,538,-155625.0,-134625.0,-121.746459,36.79239,0.0143999999968814,0.6527954579087136,0.0,0.0,T4,False
c-624_r539,06053,Monterey,-624,539,-155875.0,-134875.0,-121.749213,36.790099,0.036161349377733104,0.6169614021127017,0.0,0.0,T4,False
c-618_r540,06053,Monterey,-618,540,-154375.0,-135125.0,-121.732332,36.788098,0.3327612041904414,0.7086578899706021,0.0,0.0,T4,False
c-618_r550,06053,Monterey,-618,550,-154375.0,-137625.0,-121.73182,36.765609,0.18050237519746376,0.8037152120552808,0.0,0.0,T4,False
c-615_r551,06053,Monterey,-615,551,-153625.0,-137875.0,-121.723357,36.763483,0.3539289341622477,0.6010284725512964,0.0,0.0,G6,False
c-579_r551,06053,Monterey,-579,551,-144625.0,-137875.0,-121.622416,36.764912,0.0,0.7767057713105612,0.9567100706303318,0.9567100706303318,T20,False
c-634_r552,06053,Monterey,-634,552,-158375.0,-138125.0,-121.776578,36.760446,0.25839201407418344,0.6308240376515699,0.0,0.0,T18,False
c-633_r552,06053,Monterey,-633,552,-158125.0,-138125.0,-121.773774,36.760488,0.15542294174053217,0.7818391800807213,0.0,0.0,T18,False
c-596_r553,06053,Monterey,-596,553,-148875.0,-138375.0,-121.669984,36.75975,0.0,0.6876857592902258,0.7639410701803019,0.7639410701803019,T20,False
c-627_r554,06053,Monterey,-627,554,-156625.0,-138625.0,-121.756847,36.756241,0.4599463960570344,0.6323534895768003,0.0,0.0,T30,False
c-597_r554,06053,Monterey,-597,554,-149125.0,-138625.0,-121.672739,36.757462,3.103634882429269e-05,0.6566960557794765,0.8940324633116719,0.8940324633116719,T20,False
c-597_r555,06053,Monterey,-597,555,-149125.0,-138875.0,-121.672689,36.755213,0.0,0.6153914356943471,0.6496797209606947,0.6496797209606947,T20,False
c-596_r555,06053,Monterey,-596,555,-148875.0,-138875.0,-121.669885,36.755252,0.0,0.7370733545058952,0.8575793912390702,0.8575793912390702,T20,False
c-596_r556,06053,Monterey,-596,556,-148875.0,-139125.0,-121.669836,36.753003,0.0,0.6827301157343766,0.26507758305434154,0.26507758305434154,X,False
c-595_r556,06053,Monterey,-595,556,-148625.0,-139125.0,-121.667033,36.753043,0.0,0.6295599739305473,0.0,0.0,X,False
c-598_r557,06053,Monterey,-598,557,-149375.0,-139375.0,-121.675394,36.750675,0.0,0.619324956692581,0.9658992724558426,0.9658992724558426,T20,False
c-592_r557,06053,Monterey,-592,557,-147875.0,-139375.0,-121.658573,36.750912,0.014399999998281008,0.7100394698775846,0.0,0.9471927686461599,T18,False
c-577_r557,06053,Monterey,-577,557,-144125.0,-139375.0,-121.616521,36.751495,0.0,0.6148401243524054,0.19946737618494442,0.19946737618494442,T4,False
c-598_r558,06053,Monterey,-598,558,-149375.0,-139625.0,-121.675344,36.748426,0.014399999999954604,0.7962997046219069,0.9373329084560651,0.9373329084560651,T20,False
c-597_r558,06053,Monterey,-597,558,-149125.0,-139625.0,-121.672541,36.748466,0.0,0.7698301805255304,0.9503910099503536,0.9503910099503536,T20,False
c-594_r558,06053,Monterey,-594,558,-148375.0,-139625.0,-121.664131,36.748584,0.0,0.6546659324581757,0.0,0.0,T4,False
c-599_r559,06053,Monterey,-599,559,-149625.0,-139875.0,-121.678098,36.746137,0.0,0.681638086203384,0.8580850219701309,0.8580850219701309,T20,False
c-597_r559,06053,Monterey,-597,559,-149125.0,-139875.0,-121.672491,36.746217,0.0,0.7360462888417626,0.8264869637680318,0.8264869637680318,T20,False
c-594_r559,06053,Monterey,-594,559,-148375.0,-139875.0,-121.664081,36.746336,0.0,0.6673851626556462,0.0,0.0,T4,False
c-597_r560,06053,Monterey,-597,560,-149125.0,-140125.0,-121.672442,36.743968,0.014400000000393848,0.6586146872625367,0.963298032280525,0.963298032280525,T20,False
c-589_r560,06053,Monterey,-589,560,-147125.0,-140125.0,-121.650016,36.744283,0.0,0.62710087579854,0.9886484583583892,0.9886484583583892,T20,False
c-598_r561,06053,Monterey,-598,561,-149375.0,-140375.0,-121.675195,36.741679,0.016810411723352056,0.7117200285766231,0.84640917574105,0.84640917574105,T20,False
c-587_r562,06053,Monterey,-587,562,-146625.0,-140625.0,-121.644313,36.739863,0.0,0.6437978882896322,0.0,0.0,T30,False
c-578_r562,06053,Monterey,-578,562,-144375.0,-140625.0,-121.619085,36.740212,0.0,0.7051524378204175,0.17714078820446935,0.17714078820446935,T30,False
c-632_r563,06053,Monterey,-632,563,-157875.0,-140875.0,-121.770394,36.735792,0.6011495476844194,0.6155495476874665,0.7492666939063864,0.7492666939063864,T20,True
c-590_r563,06053,Monterey,-590,563,-147375.0,-140875.0,-121.652673,36.737497,0.0,0.7596974323375776,1.0,1.0,T20,False
c-583_r563,06053,Monterey,-583,563,-145625.0,-140875.0,-121.633052,36.73777,0.0,0.6149469073652705,0.0,0.0,T30,False
c-582_r563,06053,Monterey,-582,563,-145375.0,-140875.0,-121.630249,36.737809,0.0,0.6652390065604589,0.0,0.0,T30,False
c-581_r563,06053,Monterey,-581,563,-145125.0,-140875.0,-121.627446,36.737847,0.0,0.750605600037892,0.40365855194705946,0.40365855194705946,T30,False
